epoch,phase,train_loss,val_loss,train_acc,val_acc
1,frozen,1.8543452547567258,1.7423976144965336,0.27368666097617755,0.3126358273828004
2,frozen,1.7847055462062187,1.746649550673607,0.30720881508496933,0.3191555417572183
3,frozen,1.7593076090525182,1.7223669204309244,0.32265073329712113,0.3306426575597641
4,frozen,1.7437536143216852,1.7238963376805858,0.32940172266625284,0.3272275690779261
5,frozen,1.7425967654902894,1.7176353938829008,0.3278497710871421,0.32505433095312014
6,frozen,1.7258981800786073,1.6994315993523088,0.33817024908822846,0.32474386836386215
7,frozen,1.7270147235896558,1.7131762096357064,0.33716148056180645,0.3443030114871158
8,frozen,1.7225616925662046,1.7110018848965753,0.3396446030883836,0.3256752561316361
9,frozen,1.7101967981346937,1.71007761308326,0.3470163730891596,0.3157404532753803
10,frozen,1.7094992448520077,1.7052491602783653,0.344610848141538,0.3374728345234399
11,frozen,1.6919155411865692,1.6873174104139843,0.34856832466827037,0.3393356100589879
12,frozen,1.6810155460071718,1.6873901720485196,0.35539691161635756,0.33033219497050603
13,frozen,1.674450059807346,1.67048978801841,0.3594319857220455,0.34802856255821174
14,frozen,1.674701752725191,1.668793896494797,0.35640568014277957,0.3449239366656318
15,frozen,1.6737328347255476,1.6763671452271498,0.3629238767750446,0.3402669978267619
16,fine_tune,1.5825070222206497,1.531304168908428,0.3912469930938155,0.3986339646072648
17,fine_tune,1.476462955590298,1.4774117613386493,0.43718475983549315,0.4185035703197765
18,fine_tune,1.4012767025985386,1.4415892096122427,0.4641887173120199,0.4396150263893201
19,fine_tune,1.3445900633122911,1.4195485801957328,0.4856832466827035,0.4554486184414778
20,fine_tune,1.3177914673190347,1.3778259095402468,0.4992628229999224,0.4560695436199938
21,fine_tune,1.2723820318194814,1.3427317762404487,0.5202917668968728,0.48680533995653524
22,fine_tune,1.2349905173754667,1.3857093304812038,0.5338713432140917,0.4858739521887612
23,fine_tune,1.2110749297268943,1.3215863639543752,0.5452781873205556,0.500155231294629
24,fine_tune,1.1766213104076804,1.3257297762651985,0.5546674943741755,0.4939459795094691
25,fine_tune,1.1434944432303673,1.324316139529855,0.5749980600605261,0.49674014281279105
26,fine_tune,1.1223574082920047,1.3334653459510164,0.5809730736401024,0.49332505433095314
27,fine_tune,1.100835681618384,1.3254420011726753,0.5837665864825018,0.5063644830797889
28,fine_tune,1.0547298221376487,1.3173790603866862,0.6045627376425855,0.5181620614715927
29,fine_tune,1.0366640926619206,1.3254107651004359,0.6103049584852953,0.5243713132567526
30,fine_tune,1.0164017890712755,1.325308352699564,0.6155039962753162,0.5166097485253027
